peliculas_no_2_6	1	1	La	el	da0fs0	article	-	-	-	
peliculas_no_2_6	1	2	película	película	ncfs000	common	-	-	-	
peliculas_no_2_6	1	3	esta	este	dd0fs0	demonstrative	-	-	-	
peliculas_no_2_6	1	4	currada	currar	vmp00sf	main	-	-	-	
peliculas_no_2_6	1	5	en_cuanto_a	en_cuanto_a	sps00	preposition	-	-	-	
peliculas_no_2_6	1	6	la	el	da0fs0	article	-	-	-	
peliculas_no_2_6	1	7	calidad	calidad	ncfs000	common	-	-	-	
peliculas_no_2_6	1	8	de	de	sps00	preposition	-	-	-	
peliculas_no_2_6	1	9	los	el	da0mp0	article	-	-	-	
peliculas_no_2_6	1	10	dibujos	dibujo	ncmp000	common	-	-	-	
peliculas_no_2_6	1	11	,	,	fc	-	-	-	-	
peliculas_no_2_6	1	12	de	de	sps00	preposition	-	-	-	
peliculas_no_2_6	1	13	verdad	verdad	ncfs000	common	-	-	-	
peliculas_no_2_6	1	14	que	que	pr0cn000	relative	-	-	-	
peliculas_no_2_6	1	15	está	estar	vaip3s0	auxiliary	-	-	-	
peliculas_no_2_6	1	16	muy	muy	rg	-	-	-	-	
peliculas_no_2_6	1	17	bien	bien	rg	-	-	-	-	
peliculas_no_2_6	1	18	hecha	hacer	vmp00sf	main	-	-	-	
peliculas_no_2_6	1	19	y	y	cc	coordinating	-	-	-	
peliculas_no_2_6	1	20	el	el	da0ms0	article	-	-	-	
peliculas_no_2_6	1	21	argumento	argumento	ncms000	common	-	-	-	
peliculas_no_2_6	1	22	pampoco	pampoco	rg	-	-	-	-	
peliculas_no_2_6	1	23	está	estar	vaip3s0	auxiliary	-	-	-	
peliculas_no_2_6	1	24	mal	mal	rg	-	-	-	-	
peliculas_no_2_6	1	25	,	,	fc	-	-	-	-	
peliculas_no_2_6	1	26	pero	pero	cc	coordinating	-	-	-	
peliculas_no_2_6	1	27	creo	crear	vmip1s0	main	-	-	-	
peliculas_no_2_6	1	28	que	que	cs	subordinating	-	-	-	
peliculas_no_2_6	1	29	no	no	rn	negative	no	-	-	
peliculas_no_2_6	1	30	lo	lo	pp3cna00	personal	-	-	-	
peliculas_no_2_6	1	31	han	haber	vaip3p0	auxiliary	-	-	-	
peliculas_no_2_6	1	32	enfocado	enfocar	vmp00sm	main	-	-	-	
peliculas_no_2_6	1	33	desde	desde	sps00	preposition	-	-	-	
peliculas_no_2_6	1	34	un	uno	di0ms0	indefinite	-	-	-	
peliculas_no_2_6	1	35	punto	punto	ncms000	common	-	-	-	
peliculas_no_2_6	1	36	de	de	sps00	preposition	-	-	-	
peliculas_no_2_6	1	37	vista	vista	ncfs000	common	-	-	-	
peliculas_no_2_6	1	38	entretenido	entretener	vmp00sm	main	-	-	-	
peliculas_no_2_6	1	39	.	.	fp	-	-	-	-	

peliculas_no_2_6	2	1	O_sea	o_sea	np00000	proper	***	
peliculas_no_2_6	2	2	,	,	fc	-	***	
peliculas_no_2_6	2	3	que	que	pr0cn000	relative	***	
peliculas_no_2_6	2	4	quizás	quizás	rg	-	***	
peliculas_no_2_6	2	5	para	para	sps00	preposition	***	
peliculas_no_2_6	2	6	dar	dar	vmn0000	main	***	
peliculas_no_2_6	2	7	la	el	da0fs0	article	***	
peliculas_no_2_6	2	8	típica	típico	aq0fs0	qualificative	***	
peliculas_no_2_6	2	9	lección	lección	ncfs000	common	***	
peliculas_no_2_6	2	10	que	que	pr0cn000	relative	***	
peliculas_no_2_6	2	11	disney	disney	ncfs000	common	***	
peliculas_no_2_6	2	12	quiere	querer	vmip3s0	main	***	
peliculas_no_2_6	2	13	lanzar	lanzar	vmn0000	main	***	
peliculas_no_2_6	2	14	a	a	sps00	preposition	***	
peliculas_no_2_6	2	15	los	el	da0mp0	article	***	
peliculas_no_2_6	2	16	niños	niño	ncmp000	common	***	
peliculas_no_2_6	2	17	con	con	sps00	preposition	***	
peliculas_no_2_6	2	18	sus	su	dp3cp0	possessive	***	
peliculas_no_2_6	2	19	películas	película	ncfp000	common	***	
peliculas_no_2_6	2	20	me	me	pp1cs000	personal	***	
peliculas_no_2_6	2	21	parece	parecer	vmip3s0	main	***	
peliculas_no_2_6	2	22	bien	bien	rg	-	***	
peliculas_no_2_6	2	23	,	,	fc	-	***	
peliculas_no_2_6	2	24	pero	pero	cc	coordinating	***	
peliculas_no_2_6	2	25	si	si	cs	subordinating	***	
peliculas_no_2_6	2	26	ya	ya	rg	-	***	
peliculas_no_2_6	2	27	te	te	pp2cs000	personal	***	
peliculas_no_2_6	2	28	sabes	saber	vmip2s0	main	***	
peliculas_no_2_6	2	29	todas	todo	di0fp0	indefinite	***	
peliculas_no_2_6	2	30	las	el	da0fp0	article	***	
peliculas_no_2_6	2	31	moralejas	moraleja	ncfp000	common	***	
peliculas_no_2_6	2	32	que	que	pr0cn000	relative	***	
peliculas_no_2_6	2	33	se	se	p00cn000	-	***	
peliculas_no_2_6	2	34	pueden	poder	vmip3p0	main	***	
peliculas_no_2_6	2	35	saber	saber	vmn0000	main	***	
peliculas_no_2_6	2	36	,	,	fc	-	***	
peliculas_no_2_6	2	37	la	el	da0fs0	article	***	
peliculas_no_2_6	2	38	película	película	ncfs000	common	***	
peliculas_no_2_6	2	39	es	ser	vsip3s0	semiauxiliary	***	
peliculas_no_2_6	2	40	un	uno	di0ms0	indefinite	***	
peliculas_no_2_6	2	41	poco	poco	rg	-	***	
peliculas_no_2_6	2	42	aburrida	aburrir	vmp00sf	main	***	
peliculas_no_2_6	2	43	.	.	fp	-	***	

peliculas_no_2_6	3	1	Su	su	dp3cs0	possessive	***	
peliculas_no_2_6	3	2	funal	funal	ncms000	common	***	
peliculas_no_2_6	3	3	es	ser	vsip3s0	semiauxiliary	***	
